participant_id,specification,task,hidden_passed,hidden_failed,hidden_total,pass_rate,failure_count,before_ac,before_frs,before_invariants,before_neg_req,before_constraints,before_exception,before_tie_breaking,phase,id,total_prompts,explicitly_referred_to_specification,carried_constraints_from_spec,carried_edge_cases_from_spec,asked_to_preserve_invariants,asked_to_update_or_generate_tests_based_on_spec,omitted_important_spec_elements,carried_constraints_from_spec_appeared_at_least_once,carried_edge_cases_from_spec_appeared_at_least_once,asked_to_preserve_invariants_appeared_at_least_once,asked_to_update_or_generate_tests_based_on_spec_appeared_at_least_once,specified_element_categories_total,specified_element_categories_appeared,specified_element_categories_omitted,alignment_score,omission_rate
S0035,G2,B,14,19,33,0.42424242424242425,19,1,0,0,0,1,0,0,Phase 1,S0035,3.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0036,G2,B,14,19,33,0.42424242424242425,19,1,0,0,0,1,0,0,Phase 1,S0036,8.0,1.0,4.0,4.0,0.0,1.0,3.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0037,G2,A,14,19,33,0.42424242424242425,19,1,0,0,0,1,0,0,Phase 1,S0037,3.0,1.0,2.0,2.0,0.0,1.0,2.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0038,G2,A,10,23,33,0.30303030303030304,23,1,0,0,0,1,0,0,Phase 1,S0038,2.0,0.0,2.0,2.0,0.0,1.0,1.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0039,G2,A,11,22,33,0.3333333333333333,22,1,0,0,0,1,0,0,Phase 1,S0039,4.0,0.0,1.0,0.0,0.0,0.0,1.0,True,False,False,False,4.0,1.0,3.0,0.25,0.75
S0040,G2,A,16,17,33,0.48484848484848486,17,1,0,0,0,1,0,0,Phase 1,S0040,2.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0041,G2,A,9,24,33,0.2727272727272727,24,1,0,0,0,1,0,0,Phase 1,S0041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0042,G2,A,12,21,33,0.36363636363636365,21,1,0,0,0,1,0,0,Phase 1,S0042,4.0,0.0,2.0,2.0,0.0,1.0,2.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0043,G2,A,10,23,33,0.30303030303030304,23,1,0,0,0,1,0,0,Phase 1,S0043,5.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0044,G2,A,12,21,33,0.36363636363636365,21,1,0,0,0,1,0,0,Phase 1,S0044,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0045,G2,A,15,18,33,0.45454545454545453,18,1,0,0,0,1,0,0,Phase 1,S0045,7.0,0.0,3.0,1.0,0.0,0.0,4.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0046,G2,A,11,22,33,0.3333333333333333,22,1,0,0,0,1,0,0,Phase 1,S0046,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0047,G2,A,10,23,33,0.30303030303030304,23,1,0,0,0,1,0,0,Phase 1,S0047,6.0,0.0,6.0,3.0,0.0,1.0,4.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0048,G2,A,14,19,33,0.42424242424242425,19,1,0,0,0,1,0,0,Phase 1,S0048,10.0,2.0,9.0,9.0,0.0,3.0,3.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0049,G3,A,13,20,33,0.3939393939393939,20,0,1,1,1,1,1,1,Phase 1,S0049,7.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,True,4.0,1.0,3.0,0.25,0.75
S0050,G3,B,0,33,33,0.0,33,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
S0051,G3,B,14,19,33,0.42424242424242425,19,0,1,1,1,1,1,1,Phase 1,S0051,10.0,1.0,4.0,1.0,0.0,1.0,8.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0052,G3,B,9,24,33,0.2727272727272727,24,0,1,1,1,1,1,1,Phase 1,S0052,10.0,1.0,0.0,0.0,0.0,0.0,2.0,False,False,False,False,4.0,0.0,4.0,0.0,1.0
S0053,G3,A,15,18,33,0.45454545454545453,18,0,1,1,1,1,1,1,Phase 1,S0053,6.0,1.0,4.0,3.0,0.0,1.0,2.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0054,G3,A,18,15,33,0.5454545454545454,15,0,1,1,1,1,1,1,Phase 1,S0054,2.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0055,G3,A,19,14,33,0.5757575757575758,14,0,1,1,1,1,1,1,Phase 1,S0055,5.0,1.0,1.0,1.0,1.0,0.0,0.0,True,True,True,False,4.0,3.0,1.0,0.75,0.25
S0056,G3,A,32,1,33,0.9696969696969697,1,0,1,1,1,1,0,0,Phase 1,S0056,12.0,1.0,2.0,2.0,1.0,0.0,2.0,True,True,True,False,4.0,3.0,1.0,0.75,0.25
S0057,G3,A,22,11,33,0.6666666666666666,11,0,1,1,1,1,1,1,Phase 1,S0057,4.0,2.0,3.0,2.0,2.0,1.0,1.0,True,True,True,True,4.0,4.0,0.0,1.0,0.0
S0058,G3,A,22,11,33,0.6666666666666666,11,0,1,1,1,1,1,1,Phase 1,S0058,6.0,4.0,3.0,2.0,2.0,2.0,2.0,True,True,True,True,4.0,4.0,0.0,1.0,0.0
S0059,G3,A,19,14,33,0.5757575757575758,14,0,1,1,1,1,0,1,Phase 1,S0059,4.0,1.0,2.0,2.0,1.0,0.0,0.0,True,True,True,False,4.0,3.0,1.0,0.75,0.25
S0060,G3,A,22,11,33,0.6666666666666666,11,0,1,1,1,1,0,1,Phase 1,S0060,5.0,1.0,2.0,2.0,1.0,0.0,3.0,True,True,True,False,4.0,3.0,1.0,0.75,0.25
S0061,G3,A,19,14,33,0.5757575757575758,14,0,1,1,1,1,1,1,Phase 1,S0061,3.0,2.0,3.0,3.0,3.0,1.0,1.0,True,True,True,True,4.0,4.0,0.0,1.0,0.0
S0062,G3,A,19,14,33,0.5757575757575758,14,0,1,1,1,1,1,1,Phase 1,S0062,3.0,1.0,1.0,1.0,1.0,0.0,0.0,True,True,True,False,4.0,3.0,1.0,0.75,0.25
S0063,G3,A,33,0,33,1.0,0,0,1,1,1,1,0,1,Phase 1,S0063,4.0,2.0,1.0,2.0,0.0,1.0,1.0,True,True,False,True,4.0,3.0,1.0,0.75,0.25
S0064,G3,B,30,3,33,0.9090909090909091,3,0,1,1,1,1,1,1,Phase 1,S0064,6.0,3.0,2.0,2.0,0.0,0.0,2.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0065,G3,B,30,3,33,0.9090909090909091,3,0,1,1,1,1,0,0,Phase 1,S0065,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0066,G3,B,24,9,33,0.7272727272727273,9,0,1,0,0,1,0,0,Phase 1,S0066,5.0,1.0,2.0,0.0,0.0,2.0,2.0,True,False,False,True,4.0,2.0,2.0,0.5,0.5
S0067,G3,B,30,3,33,0.9090909090909091,3,0,1,1,1,1,1,1,Phase 1,S0067,3.0,1.0,1.0,1.0,0.0,0.0,1.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0068,G3,B,24,9,33,0.7272727272727273,9,0,1,1,1,1,1,1,Phase 1,S0068,2.0,1.0,1.0,0.0,0.0,0.0,2.0,True,False,False,False,4.0,1.0,3.0,0.25,0.75
S0069,G3,B,30,3,33,0.9090909090909091,3,0,1,1,1,1,1,1,Phase 1,S0069,3.0,1.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,4.0,1.0,3.0,0.25,0.75
S0070,G3,B,30,3,33,0.9090909090909091,3,0,1,1,1,1,0,1,Phase 1,S0070,3.0,1.0,2.0,2.0,0.0,0.0,1.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0071,G3,B,30,3,33,0.9090909090909091,3,0,1,1,1,1,1,1,Phase 1,S0071,13.0,3.0,1.0,1.0,0.0,0.0,1.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
S0072,G3,B,15,18,33,0.45454545454545453,18,0,1,1,1,1,0,1,Phase 1,S0072,2.0,1.0,2.0,2.0,0.0,0.0,1.0,True,True,False,False,4.0,2.0,2.0,0.5,0.5
