participant_id,specification,task,pass_rate,failure_count,hidden_passed,hidden_failed,before_ac,before_frs,before_invariants,before_neg_req,before_constraints,before_exception,before_tie_breaking,clarification,debugging,other,code_generation,test_generation,total_prompts_from_type_file,clarification_share,code_generation_share,debugging_share,test_generation_share,other_share,alignment_score,omission_rate,specified_element_categories_appeared,specified_element_categories_omitted
S0048,G2,A,0.42424242424242425,19,14,19,1,0,0,0,1,0,0,0.0,6.0,4.0,0.0,0.0,10.0,0.0,0.0,0.6,0.0,0.4,0.75,0.25,3.0,1.0
S0049,G3,A,0.3939393939393939,20,13,20,0,1,1,1,1,1,1,2.0,2.0,3.0,0.0,0.0,7.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.42857142857142855,0.25,0.75,1.0,3.0
S0050,G3,B,0.0,33,0,33,0,1,1,1,1,1,1,,,,,,,,,,,,,,,
S0051,G3,B,0.42424242424242425,19,14,19,0,1,1,1,1,1,1,5.0,1.0,4.0,0.0,0.0,10.0,0.5,0.0,0.1,0.0,0.4,0.75,0.25,3.0,1.0
S0052,G3,B,0.2727272727272727,24,9,24,0,1,1,1,1,1,1,7.0,0.0,3.0,0.0,0.0,10.0,0.7,0.0,0.0,0.0,0.3,0.0,1.0,0.0,4.0
S0053,G3,A,0.45454545454545453,18,15,18,0,1,1,1,1,1,1,0.0,2.0,4.0,0.0,0.0,6.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.75,0.25,3.0,1.0
S0054,G3,A,0.5454545454545454,15,18,15,0,1,1,1,1,1,1,1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,2.0,2.0
S0055,G3,A,0.5757575757575758,14,19,14,0,1,1,1,1,1,1,2.0,0.0,3.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.6,0.75,0.25,3.0,1.0
S0056,G3,A,0.9696969696969697,1,32,1,0,1,1,1,1,0,0,5.0,0.0,7.0,0.0,0.0,12.0,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,0.75,0.25,3.0,1.0
S0057,G3,A,0.6666666666666666,11,22,11,0,1,1,1,1,1,1,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.25,0.0,0.75,1.0,0.0,4.0,0.0
S0058,G3,A,0.6666666666666666,11,22,11,0,1,1,1,1,1,1,2.0,1.0,3.0,0.0,0.0,6.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.5,1.0,0.0,4.0,0.0
S0059,G3,A,0.5757575757575758,14,19,14,0,1,1,1,1,0,1,2.0,1.0,1.0,0.0,0.0,4.0,0.5,0.0,0.25,0.0,0.25,0.75,0.25,3.0,1.0
S0060,G3,A,0.6666666666666666,11,22,11,0,1,1,1,1,0,1,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.8,0.75,0.25,3.0,1.0
S0061,G3,A,0.5757575757575758,14,19,14,0,1,1,1,1,1,1,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0
S0062,G3,A,0.5757575757575758,14,19,14,0,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.75,0.25,3.0,1.0
S0063,G3,A,1.0,0,33,0,0,1,1,1,1,0,1,2.0,0.0,2.0,0.0,0.0,4.0,0.5,0.0,0.0,0.0,0.5,0.75,0.25,3.0,1.0
S0064,G3,B,0.9090909090909091,3,30,3,0,1,1,1,1,1,1,3.0,0.0,3.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,2.0,2.0
S0065,G3,B,0.9090909090909091,3,30,3,0,1,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0
S0066,G3,B,0.7272727272727273,9,24,9,0,1,0,0,1,0,0,1.0,0.0,4.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.8,0.5,0.5,2.0,2.0
S0067,G3,B,0.9090909090909091,3,30,3,0,1,1,1,1,1,1,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,2.0,2.0
S0068,G3,B,0.7272727272727273,9,24,9,0,1,1,1,1,1,1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.25,0.75,1.0,3.0
S0069,G3,B,0.9090909090909091,3,30,3,0,1,1,1,1,1,1,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.25,0.75,1.0,3.0
S0070,G3,B,0.9090909090909091,3,30,3,0,1,1,1,1,0,1,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,2.0,2.0
S0071,G3,B,0.9090909090909091,3,30,3,0,1,1,1,1,1,1,8.0,0.0,5.0,0.0,0.0,13.0,0.6153846153846154,0.0,0.0,0.0,0.38461538461538464,0.5,0.5,2.0,2.0
S0072,G3,B,0.45454545454545453,18,15,18,0,1,1,1,1,0,1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0
