participant_id,task,spec_condition,python_skill,llm_familiarity,prompt_count,total_prompt_length,prompt_alignment,constraints_in_prompt,edge_cases_in_prompt,tests_requested,passed_tests,failure_count,failure_diversity
S0051,B,G3,,,10.0,1247.0,0.75,1.0,1.0,1.0,14,19,4
S0052,B,G3,4.0,3.0,10.0,173.0,0.0,0.0,0.0,0.0,9,24,4
S0053,A,G3,4.0,5.0,6.0,399.0,0.75,1.0,1.0,1.0,15,18,4
S0054,A,G3,2.0,4.0,2.0,346.0,0.5,1.0,1.0,0.0,18,15,4
S0055,A,G3,3.0,3.0,5.0,569.0,0.75,1.0,1.0,0.0,19,14,4
S0056,A,G3,4.0,3.0,12.0,666.0,0.75,1.0,1.0,0.0,32,1,1
S0057,A,G3,2.0,1.0,4.0,844.0,1.0,1.0,1.0,1.0,22,11,4
S0058,A,G3,5.0,2.0,6.0,1124.0,1.0,1.0,1.0,1.0,22,11,4
S0059,A,G3,3.0,3.0,4.0,849.0,0.75,1.0,1.0,0.0,19,14,4
S0060,A,G3,3.0,2.0,5.0,691.0,0.75,1.0,1.0,0.0,22,11,4
S0061,A,G3,3.0,2.0,3.0,1430.0,1.0,1.0,1.0,1.0,19,14,4
S0062,A,G3,3.0,4.0,3.0,558.0,0.75,1.0,1.0,0.0,19,14,4
S0063,A,G3,3.0,3.0,4.0,487.0,0.75,1.0,1.0,1.0,33,0,0
S0064,B,G3,4.0,3.0,6.0,954.0,0.5,1.0,1.0,0.0,30,3,2
S0065,B,G3,4.0,2.0,1.0,353.0,0.5,1.0,1.0,0.0,30,3,2
S0066,B,G3,4.0,1.0,5.0,547.0,0.5,1.0,0.0,1.0,24,9,4
S0067,B,G3,4.0,3.0,3.0,385.0,0.5,1.0,1.0,0.0,30,3,2
S0068,B,G3,3.0,3.0,2.0,399.0,0.25,1.0,0.0,0.0,24,9,4
S0069,B,G3,3.0,3.0,3.0,333.0,0.25,1.0,0.0,0.0,30,3,2
S0070,B,G3,2.0,1.0,3.0,330.0,0.5,1.0,1.0,0.0,30,3,2
S0071,B,G3,2.0,2.0,13.0,472.0,0.5,1.0,1.0,0.0,30,3,2
S0072,B,G3,4.0,2.0,2.0,705.0,0.5,1.0,1.0,0.0,15,18,4
